"","Species","German_name","Family","Suborder","germanRange","since","Flight_start","Flight_end","Taxon","Genus","Habitat","Endemic.to.Europe","EU.Red.List.Europe","Habitat.Directive","Threath.status.on.European.Red.List","species","lowerLat","upperLat","minLong","maxLong","nuEuroGrids","species..German.","development.time..max.","development.time..min.","devTime","Voltinism_Corbet","Migration","meanTemp","medTemp","sdTemp","medAb","medHw","Generalism","Flow","stream","river","pond","lake","marsh.wetlands","ditch","canal","fens","heath.moor","bog","woodland.forest","sand.gravel.pits.quarries","man.made","seasonal","Reference","VoltinismProp","Overwintering","Uni","RedList","GermanRedList"
"32","Enallagma cyathigerum","Gemeine Becherjungfer ","Coenagrionidae","Zygoptera",90.5,76.6,6.2,8.2,"Lestes virens (Charpentier, 1825)","Enallagma","Standing","No","Least Concern","No","No","cyathigerum","35,44817","70,53387","-0,01000","9,99715",3438,"Becher-Azurjungfer",0.5,2,1.25,"S/U/B","",8.66684719561271,8.68849188172155,3.48808179792299,25,18,"generalist","standing, slow-flowing",0,0,2,0,0,0,0,0,0,2,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",2.9,"Larva",5,"least concern","*"
"33","Epitheca bimaculata","Zweifleck ","Corduliidae","Anisoptera",7.7,6.2,NA,NA,"Leucorrhinia albifrons (Burmeister, 1839)","Epitheca","Standing","No","Least Concern","No","No","bimaculata","42,21270","63,80649","0,67884","9,36601",597,"Zweifleck",2,3,2.5,"S","",8.07410774977719,8.24424817709516,2.08792196907605,40,40,"specialist","standing",0,0,2,2,0,0,0,0,0,0,2,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.9,"Larva",1,"least concern","*"
"34","Erythromma lindenii","Saphirauge ","Coenagrionidae","Zygoptera",19.2,15.5,6.3,8.2,"Leucorrhinia caudalis (Charpentier, 1840)","Erythromma","Standing","No","Least Concern","No","No","lindenii","34,57145","53,02892","-0,05569","9,99715",1325,"Pokal-Azurjungfer",1,1,1,"U/B","",11.7967075092163,11.5922198100966,2.77656274381309,26,20,"specialist","standing, running",2,2,0,2,0,0,2,0,0,0,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",3.2,"Larva",8,"least concern","*"
"35","Erythromma najas","Grosses Granatauge ","Coenagrionidae","Zygoptera",62.5,50.1,5.3,6.3,"Leucorrhinia dubia (Vander Linden, 1825)","Erythromma","Standing","No","Least Concern","No","No","najas","40,42116","66,49824","-0,02526","9,99715",2150,"Großes Granatauge",1,1,1,"U","",8.08961573085112,8.30273802791829,2.57275722336046,27.5,21.5,"specialist","standing, slow-flowing",0,0,2,0,0,2,2,0,0,0,0,0,0,0,"https://libellenwissen.de/libellenarten/kleinlibellen/schlanklibellen-coenagrionidae/grosses-granatauge/",2.8,"Larva",8,"least concern","*"
"36","Erythromma viridulum","Kleines Granatauge ","Coenagrionidae","Zygoptera",51.9,45.7,7.2,8.2,"Leucorrhinia pectoralis (Charpentier, 1825)","Erythromma","Standing","No","Least Concern","No","No","viridulum","35,00759","57,51624","-0,04012","9,97277",1753,"Kleines Granatauge",1,1,1,"","",10.602108146404,10.1475559302739,2.72286717351874,23.5,18,"specialist","standing, slow-flowing",0,2,2,2,0,2,0,0,0,0,0,0,0,0,"https://libellenwissen.de/libellenarten/kleinlibellen/schlanklibellen-coenagrionidae/kleines-granatauge/",3.2,"Larva",8,"least concern","*"
"37","Gomphus flavipes","Asiatische Keiljungfer ","Gomphidae","Anisoptera",6.5,5.8,6.2,7.1,"Caliaeschna microstigma (Schneider, 1845)","Gomphus","Running","No","Least Concern","Yes","No","flavipes","39,52633","61,11379","-0,16958","9,96502",539,"Asiatische Keiljungfer",2,4,3,"P/S","",9.65919517203278,9.50006815818559,1.87984898185816,39.5,32.5,"specialist","running",0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.5,"Larva",0,"least concern","*"
"38","Gomphus pulchellus","Westliche Keiljungfer ","Gomphidae","Anisoptera",29.7,23.3,5.3,7.1,"Leucorrhinia rubicunda (Linnaeus, 1758)","Gomphus","Standing","Yes","Least Concern","No","No","pulchellus","35,89856","53,92777","-0,05569","9,99715",921,NA,NA,NA,NA,NA,NA,11.2203830650418,10.6775979471731,2.68953993414307,36,29,"generalist","standing, slow-flowing",0,2,2,2,0,0,2,0,0,1,0,2,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.6,"Larva",0.5,"least concern","*"
"39","Gomphus simillimus","Gelbe Keiljungfer ","Gomphidae","Anisoptera",0.4,0.3,6.1,7.2,"Calopteryx virgo (Linnaeus, 1758)","Gomphus","Running","No","Near Threatened","No","No","simillimus","36,34892","50,76816","-0,18085","9,34017",319,NA,NA,NA,NA,NA,NA,12.2725771607834,12.1362625228034,2.08488410848617,34.5,31,"generalist","running",2,2,0,0,0,0,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.5,"Larva",0,"vulnerable","R"
"40","Gomphus vulgatissimus","Gemeine Keiljungfer ","Gomphidae","Anisoptera",30.8,24.8,5.2,6.3,"Calopteryx xanthostoma (Charpentier, 1825)","Gomphus","Running","No","Least Concern","No","No","vulgatissimus","38,59985","65,14504","-0,08245","9,99715",1747,"Gemeine Keiljungfer",2,4,3,"P/S","",8.90733734990942,8.78693074176186,2.38848255700628,35,30.5,"specialist","running",2,2,0,0,0,1,0,0,0,0,0,0,0,0,"Boudot & Kalkman. Atlas of the European dragonflies and damselfiles",1.35,"Larva",0.5,"near threatened","V"
"41","Ischnura elegans","Grosse Pechlibelle ","Coenagrionidae","Zygoptera",94.6,84.5,6.2,7.3,"Libellula depressa Linnaeus, 1758","Ischnura","Standing","No","Least Concern","No","No","elegans","34,56907","66,04189","-0,01000","9,99715",3652,"Große Pechlibelle",0.5,1,0.75,"S/U/B/M","",9.56771599282517,9.30191163635542,2.91814633920142,25.5,17.5,"generalist","standing, slow-flowing",1,1,2,1,0,2,2,0,0,0,0,0,0,0,"https://british-dragonflies.org.uk/odonata/habitats/",3.5,"Larva",3,"least concern","*"
