Latitude,Longitude,MGRS.WGS84
54.7964,11.6669,32UPF7143975396
55.70948,10.99832,32UPG2555475555
55.26046,10.97572,32UPG2555525554
55.69396,11.69352,32UPG6929175307
55.2452,11.68002,32UPG7036825352
56.16917,7.80108,32VMH2555425555
56.62356,8.60161,32VMH7555475554
56.17436,8.60628,32VMH7555525555
56.1743,9.4116,32VNH2555425555
56.6235,9.41648,32VNH2555575554
56.16899,10.21679,32VNH7555425554
56.61811,10.2312,32VNH7555475554
57.07268,9.4215,32VNJ2555525555
57.06719,10.24603,32VNJ7555425554
56.15845,11.02158,32VPH2555525554
54.79679,12.3331,33UUA2856175439
55.2456,12.31998,33UUB2963325396
55.69436,12.30648,33UUB3071075351
55.27579,15.40226,33UWB2555525555
56.14308,12.2926,33VUC3179325305
57.07274,8.59681,32VMJ7555425555
57.52182,9.42666,32VNJ2555475555
57.51624,10.26131,32VNJ7555575555
56.60739,11.0455,32VPH2555475555
56.14267,11.7074,32VPH6820825259
57.05628,11.07013,32VPJ2555425554
57.50514,11.09549,32VPJ2555575554
55.70976,13.01933,33UUB7555475554
54.82648,15.39778,33UWA2555575555
54.82653,14.6195,33UVA7555575554
56.59134,11.72169,32VPH6712075211
57.96525,10.27704,32VNK7555525555
56.61829,7.78688,32VMH2555475555
61.99152,-6.60315,29VPJ2555475554
58.41422,22.29324,34VEK7555475554
58.86317,22.30995,34VEL7555425555
58.40274,23.14852,34VFK2555475555
58.85148,23.17626,34VFL2555525555
58.83398,23.79975,34VFL6159524945
58.38599,24.21681,35VLE3729075051
58.40305,24.87046,35VLE7555575554
58.42007,26.58153,35VME7555575555
59.31227,25.69232,35VMF2555575554
57.52188,26.59187,35VMD7555575555
58.41441,25.72575,35VME2555575554
59.31812,26.57055,35VMF7555575554
57.97093,27.43199,35VNE2555525555
57.9375,24.23287,35VLE3618025105
57.96525,22.27704,34VEK7555525555
57.95396,23.12161,34VFK2555525555
58.38555,23.78319,34VFK6271175002
57.95427,24.89713,35VLE7555425554
58.83443,24.20025,35VLF3840624995
58.8518,24.84297,35VLF7555525555
59.3005,24.81462,35VLF7555575554
57.96544,25.74172,35VME2555525555
57.97099,26.58678,35VME7555525555
58.86336,25.70929,35VMF2555525555
58.86911,26.57612,35VMF7555425554
57.52182,27.42666,35VND2555475555
58.42,27.43747,35VNE2555475554
59.31806,27.44895,35VNF2555475555
59.74917,24.78538,35VLG7555525555
59.76115,25.67481,35VMG2555525555
59.76711,26.5648,35VMG7555525555
59.31207,28.32718,35VNF7555575554
59.28237,23.81682,34VFL6047474887
59.28283,24.18318,35VLF3952774938
59.31207,22.32718,34VEL7555575554
59.30017,23.20486,34VFL2555575554
58.86905,27.44312,35VNF2555425555
58.42,21.43747,34VEK2555475554
57.93707,23.76713,34VFK6382125057
60.19779,24.75521,35VLG7555575554
60.20999,19.65674,34VDM2555475555
59.76711,20.5648,34VDM7555525555
60.21599,21.46117,34VEM2555475555
60.20979,22.36328,34VEM7555575555
61.11379,21.47419,34VEN2555575554
61.10736,22.40175,34VEN7555475554
60.65859,22.38221,34VEN7555525555
61.56265,21.48102,34VEP2555425554
62.0048,22.44283,34VEP7555575554
62.90211,22.48675,34VEQ7555475555
63.35778,21.51078,34VER2555425554
59.74883,23.23436,34VFM2555525554
60.19745,23.2648,34VFM2555575554
60.179,23.85261,34VFM5821874764
60.64603,23.29622,34VFN2555525554
61.07543,23.89074,34VFN5594174633
61.54307,23.3622,34VFP2555525555
61.97166,23.93144,34VFP5364674493
61.52357,23.91075,34VFP5479624564
68.74057,20.39589,34WDB7555425555
69.18896,20.38348,34WDB7555475555
68.28315,22.82994,34WEA7555575554
69.18886,21.64451,34WEB2555475555
68.74047,21.63154,34WEB2555525555
68.26546,23.71071,34WFA1199074922
67.81761,23.68745,34WFA1320224988
68.71325,23.73498,34WFB1077524852
64.23319,23.53129,34WFS2275325442
66.47379,23.62313,34WFU1681475173
67.36972,23.66513,34WFV1440975053
60.64638,24.72406,35VLH7555425555
61.09492,24.6919,35VLH7555575554
61.54343,24.65867,35VLJ7555525555
61.99189,24.62432,35VLJ7555575554
63.33704,24.514,35VLL7555525555
63.78534,24.48511,35VLL7607275534
60.20999,25.65674,35VMG2555475555
60.21606,26.55886,35VMG7555475555
60.6588,25.63809,35VMH2555425555
61.10757,25.61883,35VMH2555475554
60.66498,26.55273,35VMH7555425555
61.11387,26.54641,35VMH7555575555
61.55631,25.59893,35VMJ2555425554
62.00502,25.57836,35VMJ2555475554
62.01155,26.53311,35VMJ7555475554
62.45369,25.55709,35VMK2555525554
62.90233,25.53508,35VMK2555575554
62.46035,26.52612,35VMK7555425554
63.35094,25.5123,35VML2555525554
63.79952,25.4887,35VML2555575555
60.66491,27.46758,35VNH2555525555
62.01148,27.48809,35VNJ2555575555
62.46028,27.4954,35VNK2555525555
62.90904,27.50296,35VNK2555575554
62.45347,28.46442,35VNK7555525554
63.79928,28.53383,35VNL7555575555
61.97166,29.93144,35VPJ5364674493
63.78494,29.51488,35VPL2392875490
63.33665,29.50815,35VPL2555525555
64.23359,24.4687,35WLM7724825486
65.12998,24.43402,35WLN7961125387
65.57811,24.41569,35WLN8079975334
66.0262,24.39665,35WLP8199125280
66.92223,24.35628,35WLQ8438725164
67.81809,24.31254,35WLR8679925042
68.26594,24.28928,35WLR8801174976
64.24806,25.46424,35WMM2555425555
64.70391,26.48729,35WMM7555575555
65.14504,25.41258,35WMN2555425554
65.59348,25.38528,35WMN2555575554
65.60113,26.46967,35WMN7555575555
